order	script_id	script_name	file	source_sha256	source_bytes
0	77343326	▼ 00 VX CORE｜Modules	exported_scripts/000__id77343326__▼_00_VX_CORE｜Modules.rb	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0
1	97506006	Vocab	exported_scripts/001__id97506006__Vocab.rb	0c6a12c8b0e1a7edfa601022dc711be6f0620c5885b9482834d754ab638e5520	7595
2	50901920	Sound	exported_scripts/002__id50901920__Sound.rb	7eb4001c1e5a12c76f96c9d3d5fc62a4330235810e546923cbc8fe7836551fd3	4213
3	57856563	Cache	exported_scripts/003__id57856563__Cache.rb	e8bebfcd9ffc5bd53510d4879e1a4374bdc700d8b11fee9848a2965d9beeb645	6251
4	30520299	▼ 01 VX CORE｜Game Objects	exported_scripts/004__id30520299__▼_01_VX_CORE｜Game_Objects.rb	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0
5	75819864	Game_Temp	exported_scripts/005__id75819864__Game_Temp.rb	5eae5a09007c32e82eb819969cbcfc68ad5208ff50c662b7e3521266961ddc40	4584
6	61166382	Game_System	exported_scripts/006__id61166382__Game_System.rb	2b63228dc98d1a98ecf225c70833822347b6591d84d962864597dd23e76542af	5326
7	89206701	Game_Message	exported_scripts/007__id89206701__Game_Message.rb	8f2793152b50daec9777c5ae58db4159a3525b86f9f6a414c909106ad4a541d4	5045
8	65768432	Game_Switches	exported_scripts/008__id65768432__Game_Switches.rb	a22a67865f5fe7ac9a7ede5d8d7c6245cfe4626718d4632c57e6f3fcc16e3c0c	3404
9	77770996	Game_Variables	exported_scripts/009__id77770996__Game_Variables.rb	47d81033599c7e99200cc64ba6cb6def6357caa232450537e5a179ca26c957ac	3421
10	93212223	Game_SelfSwitches	exported_scripts/010__id93212223__Game_SelfSwitches.rb	9e74a07a918e0675aa9444d420f1319abde9cd0db4803621a07d91cc98ff30c7	3341
11	52755737	Game_Screen	exported_scripts/011__id52755737__Game_Screen.rb	daea8e09e4e2d6ad1eef51be69f3af111e55d3c3dcaf577b1d2a1b9250b2c926	10083
12	79550171	Game_Picture	exported_scripts/012__id79550171__Game_Picture.rb	6d0c588ee465b0f5030fe666cc3cc095fb5fb3980a977f05e626196341ad73a4	7821
13	52884295	Game_Battler	exported_scripts/013__id52884295__Game_Battler.rb	84ed3bb107e1fd9740086674944a124df991e80d2c8da83a745aaa06c70848c5	46462
14	65931833	Game_BattleAction	exported_scripts/014__id65931833__Game_BattleAction.rb	1e6ddce2c61555ac63c93ff05fc07f079f6e1a0db16a73de8a9cac3ce1d45c74	16050
15	93706232	Game_Actor	exported_scripts/015__id93706232__Game_Actor.rb	8010ce1d9d4786faa97f8ad6c5e2fa81a4d4399fd59d50fa5c0c506b44018906	29655
16	19485474	Game_Enemy	exported_scripts/016__id19485474__Game_Enemy.rb	e792d3f971199c567ef7bdc3015916d5125c497b5cad0dff0929e771478336c6	12846
17	37972201	Game_Actors	exported_scripts/017__id37972201__Game_Actors.rb	fc6510d4e44d53558f9d60ffb89b0e5f4aa4b8d3d09059ef90046e3320209fbe	3027
